City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Mount Isa,AU,2020-08-12 23:47:19,-20.73,139.5,77.0,29,0,6.93
71,Port Augusta,AU,2020-08-12 23:47:19,-32.5,137.77,55.99,100,90,5.82
72,Nadym,RU,2020-08-12 23:47:19,65.53,72.52,45.7,84,100,13.0
73,Matagami,CA,2020-08-12 23:47:19,49.75,-77.63,73.4,56,1,5.95
74,Moron,AR,2020-08-12 23:46:21,-34.65,-58.62,52.0,38,32,3.51
75,Tynda,RU,2020-08-12 23:47:20,55.17,124.72,65.05,67,16,1.7
76,Maralal,KE,2020-08-12 23:47:20,1.1,36.7,58.21,94,87,1.63
77,Rampura,IN,2020-08-12 23:47:20,30.25,75.23,79.21,92,56,8.3
78,Esso,RU,2020-08-12 23:47:20,55.93,158.7,54.68,65,100,6.82
79,Shetpe,KZ,2020-08-12 23:47:21,44.17,52.12,69.31,67,0,3.18
80,Ciudad Bolivar,VE,2020-08-12 23:47:21,8.12,-63.55,81.46,76,47,11.5
81,Maceio,BR,2020-08-12 23:43:22,-9.67,-35.74,69.8,100,75,1.12
82,Joensuu,FI,2020-08-12 23:47:21,62.6,29.76,52.0,81,99,1.12
83,Minnetonka,US,2020-08-12 23:47:22,44.91,-93.5,70.0,82,90,13.87
84,Nkhata Bay,MW,2020-08-12 23:47:22,-11.61,34.29,67.15,52,0,3.27
85,Seoul,KR,2020-08-12 23:47:22,37.57,126.98,82.4,78,90,4.61
86,Honiara,SB,2020-08-12 23:47:22,-9.43,159.95,86.0,74,75,3.36
87,Polunochnoye,RU,2020-08-12 23:47:22,60.87,60.42,38.53,91,21,3.8
88,Deputatskiy,RU,2020-08-12 23:47:23,69.3,139.9,38.77,90,100,9.69
89,Marfino,RU,2020-08-12 23:47:23,55.7,37.38,55.4,87,90,13.42
90,Outlook,CA,2020-08-12 23:47:23,51.5,-107.05,76.24,43,74,12.57
91,Saintes,FR,2020-08-12 23:47:23,45.67,-0.75,69.8,73,79,10.29
92,Colwyn Bay,GB,2020-08-12 23:47:24,53.29,-3.73,68.0,82,100,3.0
93,Kiama,AU,2020-08-12 23:47:24,-34.68,150.87,64.99,68,0,5.01
94,Tiznit,MA,2020-08-12 23:47:24,29.58,-9.5,71.17,52,20,1.01
95,Novobiryusinskiy,RU,2020-08-12 23:47:24,56.96,97.71,64.02,75,0,1.99
96,Tura,IN,2020-08-12 23:47:25,25.52,90.22,75.22,93,39,5.57
97,Los Llanos De Aridane,ES,2020-08-12 23:47:25,28.66,-17.92,75.2,78,75,16.11
98,Buraydah,SA,2020-08-12 23:47:25,26.33,43.98,80.6,34,0,4.7
99,Batsfjord,NO,2020-08-12 23:47:25,70.63,29.72,48.2,87,75,9.17
100,Mattru,SL,2020-08-12 23:47:25,7.62,-11.83,70.79,91,94,2.98
101,Kuchaman,IN,2020-08-12 23:47:26,27.15,74.85,81.12,84,73,13.98
102,Papara,BR,2020-08-12 23:47:26,-3.98,-38.73,79.0,78,40,12.75
103,Anilao,PH,2020-08-12 23:47:26,12.71,121.51,82.45,76,50,8.86
104,Pueblo,US,2020-08-12 23:47:27,38.25,-104.61,96.8,13,1,9.17
105,Pokaran,IN,2020-08-12 23:47:27,26.92,71.92,85.37,73,42,14.7
106,Moscow,RU,2020-08-12 23:42:45,55.75,37.62,55.4,100,75,8.95
107,Rio Grande,BR,2020-08-12 23:44:18,-32.03,-52.1,52.0,78,43,1.01
108,Svetlyy,RU,2020-08-12 23:47:28,54.67,20.13,57.99,93,1,4.47
109,Mackay,AU,2020-08-12 23:47:28,-21.15,149.2,73.99,83,1,3.36
110,Aguas Vermelhas,BR,2020-08-12 23:47:28,-15.75,-41.46,64.08,89,72,5.12
111,Iskateley,RU,2020-08-12 23:47:28,67.68,53.15,44.22,84,99,10.42
112,Kearney,US,2020-08-12 23:47:29,40.7,-99.08,87.8,48,1,16.11
113,Dombarovskiy,RU,2020-08-12 23:47:29,50.76,59.54,60.58,67,51,6.29
114,Tual,ID,2020-08-12 23:47:29,-5.67,132.75,78.73,84,52,15.79
115,Tumpat,MY,2020-08-12 23:47:29,6.2,102.17,75.2,94,20,4.7
116,Port Keats,AU,2020-08-12 23:47:30,-14.25,129.55,80.42,72,88,6.87
117,Vila,PT,2020-08-12 23:47:30,42.03,-8.16,64.99,87,5,4.7
118,Safaga,EG,2020-08-12 23:47:30,26.73,33.94,87.8,33,13,10.29
119,Basco,PH,2020-08-12 23:47:30,20.45,121.97,84.61,77,17,11.43
120,Acarau,BR,2020-08-12 23:47:30,-2.89,-40.12,77.4,78,13,16.82
121,Tongliao,CN,2020-08-12 23:45:32,43.61,122.27,69.96,93,100,12.48
122,Salalah,OM,2020-08-12 23:46:57,17.02,54.09,75.2,100,90,6.93
123,Batagay,RU,2020-08-12 23:47:31,67.63,134.63,53.65,56,100,9.04
124,Acapulco,MX,2020-08-12 23:47:14,16.86,-99.89,80.6,88,90,4.99
125,Teguise,ES,2020-08-12 23:47:31,29.06,-13.56,73.4,73,20,25.28
126,Matara,LK,2020-08-12 23:47:32,5.95,80.54,77.77,87,97,10.36
127,Panlaitan,PH,2020-08-12 23:47:32,12.12,119.85,83.79,74,98,0.67
128,Kattivakkam,IN,2020-08-12 23:47:32,13.22,80.32,82.4,74,75,5.82
129,Lorengau,PG,2020-08-12 23:47:32,-2.02,147.27,84.43,72,42,3.98
130,Corrales,US,2020-08-12 23:47:32,35.24,-106.61,95.0,12,40,6.93
131,Duartina,BR,2020-08-12 23:47:33,-22.41,-49.4,82.4,34,45,2.24
132,Palmer,US,2020-08-12 23:46:24,42.16,-72.33,86.0,48,40,10.29
133,Festus,US,2020-08-12 23:47:33,38.22,-90.4,82.99,69,16,1.99
134,Bulgan,MN,2020-08-12 23:47:33,48.81,103.53,58.6,82,93,3.04
135,Chilliwack,CA,2020-08-12 23:45:49,49.17,-121.94,69.8,52,75,9.17
136,Wasilla,US,2020-08-12 23:47:34,61.58,-149.44,62.01,72,75,3.56
137,Keti Bandar,PK,2020-08-12 23:47:34,24.14,67.45,84.83,81,98,23.31
138,Paracatu,BR,2020-08-12 23:43:57,-17.22,-46.87,68.7,54,12,3.76
139,Bilibino,RU,2020-08-12 23:47:34,68.05,166.44,52.36,82,100,3.33
140,Abonnema,NG,2020-08-12 23:47:35,4.71,6.79,77.0,88,40,3.36
